author,text
芥川龍之介,拝啓。小生は、元来新聞の編輯に無経験なるものに御座候へども文芸上の作品は文芸欄に載るものと心得居り候。然るに四月十三日の時事新報（静岡版）は文芸上の作品を文芸欄以外に掲げ居り候。それは「けふの自習課題」と申すものに之有候。小学四年。さくらの花はどんなくみたてになつてゐますか？小学五年。花崗岩はどんな鉱物から出来てゐますか？小学六年。海藻の効用をのべなさい。これは勿論詩と存じ候。殊に桜の花の「くみたて」などと申す言葉は稚拙の妙言ふべからず候。何か編輯上の手違ひとは存じ候へども、爾来かかる作品は文芸欄へお収め下され度、切望の至りに堪へず候。右差し出がましき次第ながら御注意までに申し上げ候。頓首。四月十三日伊東にて芥川龍之介佐佐木茂索様二伸。小生と同じ宿に十二三歳の少女有之、腎臓病とか申すことにて、蝋のやうな顔色を致し居り候。付き添ひ居り候は母親にや、但し余り似ても居らぬ五十恰好の婦人に御座候。小生、今朝ふと応接室へ参り候所、この影の薄き少女、籐のテエブルの上へのしかかり、熱心に「けふの自習課題」を読み居り候。定めし少女も小生と同様、桜の花や花崗岩や潮の滴る海藻を想ひ居りしことと存じ候。これは決して臆測には無之、少女の顔を一瞥致し候はば、誰にも看取出来ることに御座候。小生は勿論「けふの自習課題」の作者に芸術的嫉妬を感じ候。然れども恍惚たる少女の顔には言ふ可からざる幸福を感じ候。御同様文筆に従ひ居り候上は一行にてもかかる作品を書き度、若し又新聞の文芸欄にもかかる作品のみ載ることと相成り候はば、如何ばかり快からんなどとも存じ候。早早。（大正十二年四月）
芥川龍之介,犬養君の作品は大抵読んでいるつもりである。その又僕の読んだ作品は何れも手を抜いたところはない。どれも皆丹念に出来上っている。若し欠点を挙げるとすれば余り丹念すぎる為に暗示する力を欠き易い事であろう。それから又犬養君の作品はどれも皆柔かに美しいものである。こう云う柔かい美しさは一寸他の作家達には発見出来ない。僕はそこに若々しい一本の柳に似た感じを受けている。いつか僕は仕事をしかけた犬養君に会った事があった。その時僕の見た犬養君の顔は（若し失礼でないとすれば）女人と交った後のようだった。僕は犬養君を思い出す度にかならずこの顔を思い出している。同時に又犬養君の作品の如何にも丹念に出来上っているのも偶然ではないと思っている。
芥川龍之介,何でも秋の夜更けだつた。僕は岩野泡鳴氏と一しよに、巣鴨行の電車に乗つてゐた。泡鳴氏は昂然と洋傘の柄にマントの肘をかけて、例の如く声高に西洋草花の栽培法だの氏が自得の健胃法だのをいろいろ僕に話してくれた。その内にどう云ふ拍子だつたか、話題が当時評判だつた或小説の売れ行きに落ちた。すると泡鳴氏は傍若無人に、「しかし君、新進作家とか何とか云つたつて、そんなに本は売れやしないだらう。僕の本は大抵――部売れるが、君なんぞは一体何部位売れる？」と云つた。僕は聊か恐縮しながら、止むを得ず「傀儡師」の売れ高を答へた。「皆そんなものかね？」泡鳴氏は更に追求した。僕よりも著書の売れ高の多い新進作家は大勢ある。――僕は二三の小説を挙げて、僕の仄聞する売れ高を答へた。それらは不幸にも氏の著書より、多数は売行きが好いに違ひなかつた。「さうかね。存外好く売れるな。」泡鳴氏は一瞬間、不審さうに顔を曇らせた。が、それは文字通り、一瞬間に過ぎなかつた。僕がまだ何とも答へない内に、氏の眼には忽ち前のやうな溌剌たる光が還つて来た。と同時に泡鳴氏は恰も天下を憐れむが如く、悠然とかう云ひ放つた。「尤も僕の小説はむづかしいからな。」詩人、小説家、戯曲家、評論家、――それらの資格は余人がきめるが好い。少くとも僕の眼に映じた我岩野泡鳴氏は、殆ど荘厳な気がする位、愛すべき楽天主義者だつた。
芥川龍之介,内田百間氏は夏目先生の門下にして僕の尊敬する先輩なり。文章に長じ、兼ねて志田流の琴に長ず。著書「冥途」一巻、他人の廡下に立たざる特色あり。然れども不幸にも出版後、直に震災に遭へるが為に普く世に行はれず。僕の遺憾とする所なり。内田氏の作品は「冥途」後も佳作必ずしも少からず。殊に「女性」に掲げられたる「旅順開城」等の数篇等は戞々たる独創造の作品なり。然れどもこの数篇を読めるものは（僕の知れる限りにては）室生犀星、萩原朔太郎、佐佐木茂索、岸田国士等の四氏あるのみ。これ亦僕の遺憾とする所なり。天下の書肆皆新作家の新作品を市に出さんとする時に当り、内田百間氏を顧みざるは何故ぞや。僕は佐藤春夫氏と共に、「冥途」を再び世に行はしめんとせしも、今に至つて微力その効を奏せず。内田百間氏の作品は多少俳味を交へたれども、その夢幻的なる特色は人後に落つるものにあらず。こは恐らくは前記の諸氏も僕と声を同じうすべし。内田百間氏は今早稲田ホテルに在り。誰か同氏を訪うて作品を乞ふものなき乎。僕は単に友情の為のみにあらず、真面目に内田百間氏の詩的天才を信ずるが為に特にこの悪文を草するものなり。
芥川龍之介,男は河から蘆を切つて來て、女の爲に産屋を葺いた。それから又引きかへして、前の河の岸へ行つた。さうして切りのこした蘆の中に跪いて、天照大神に、母と子との幸ひを祈つた。日がくれかかると、女は産屋を出て、蘆の中にゐる男の所へ來た。さうして「七日目に又來て下さい。その時に子どもを見せませう。」と云つた。男は一日も早く、生まれた子が見たかつた。が、女の頼みは、父らしく素直にうけあつた。その中に日が暮れた。男は蘆の中につないで置いた丸木舟に乘つて、河下の村へさみしく漕いで歸つた。しかし村へ歸ると、男は、七日待つのが、身を切られるよりもつらく思はれた。そこで、頸にかけた七つの曲玉を一日毎に、一つづゝとつて行つた。さうしてその數がふへるのを、せめてもの慰めにしようとした。日は毎日、東から出て、西へはいつた。男の頸にかけた曲玉は、その毎に一つづゝ減つて行つた。が、六日目に男はとうとうがまんが出來なくなつた。その日の夕、蘆の中に丸木舟をつなぐと、男はそつと産屋の近くへ忍んで行つた。來て見ると、産屋の中はまるで人氣がないやうに、しんとしてゐた。さうして唯屋根に葺いた蘆の穗だけが暖く秋の日のにほひを送つてゐた。男はそつと戸をあけた。蘆の葉を敷いた床の上に、ぼんやり動いてゐるやうに見えるのが、子どもであらう。男は、前よりもそつと産屋の中へ足を入れた。さうして、恐る恐る身をこごめた。その時である。河の水は、恐しい叫び聲の爲に驚いて、蘆の根をゆすつた。男が叫び聲をあげたのも、無理はない。女の産んだ子どもと云ふのは、七匹の小さな白蛇であつた。…………この頃自分は、この神話の中の男のやうな心もちで、自分の作品集を眺めてゐるのである。
芥川龍之介,一僕の胃袋は鯨です。コロムブスの見かけたと云ふ鯨です。時々潮も吐きかねません。吼える声を聞くのには飽き飽きしました。二僕の舌や口腔は時々熱の出る度に羊歯類を一ぱいに生やすのです。三一体下痢をする度に大きい蘇鉄を思ひ出すのは僕一人に限つてゐるのかしら？四僕は腹鳴りを聞いてゐると、僕自身いつか鮫の卵を産み落してゐるやうに感じるのです。五僕は憂鬱になり出すと、僕の脳髄の襞ごとに虱がたかつてゐるやうな気がして来るのです。（大正十五年五月）
芥川龍之介,中村さん。問題が大きいので、ちよいと手軽に考をまとめられませんが、ざつと思ふ所を云へばかうです。元来芸術の内容となるものは、人としての我々の生活全容に外ならないのだから、二重生活と云ふ事は、第一義的にはある筈がないと考へます。が、それが第二義的な意味になると、いろいろむづかしい問題が起つて来る。生活を芸術化するとか、或は逆に芸術を生活化するとか云ふ事も、そこから起つて来るのでせう。あなたの手紙にあつた芸術家の職業問題などは、それを更に一歩皮相な方面へ移して来ての問題だと思ひます。だから「物心両面に於ける人としての生活と、芸術家としての生活の関係交渉」と云つても、それぞれの意義に相当な立場をきめてかからないと、折角の議論は混乱するより外にありますまい。所で私は前にも云つたやうに、今さう云ふ問題を辯じてゐる暇がない。が、強ひて何か云はなければならないとなると、職業として私は英語を教へてゐるから、そこに起る二重生活が不愉快で、しかもその不愉快を超越するのは全然物質的の問題だが、生憎それが現代の日本では当分解決されさうもない以上、永久に我々はこの不愉快な生存を続けて行く外はないと云ふ位な、甚平凡な事になつてしまひます。これでよかつたら、どうか諸家の解答の中へ加へて下さい。以上。（大正七年十月）
芥川龍之介,槐と云ふ樹の名前を覚えたのは「石の枕」と云ふ一中節の浄瑠璃を聞いた時だつたであらう。僕は勿論一中節などを稽古するほど通人ではない。唯親父だのお袋だのの稽古してゐるのを聞き覚えたのである。その文句は何でも観世音菩薩の「庭に年経し槐の梢」に現れるとか何とか云ふのだつた。「石の枕」は一つ家の婆さんが石の枕に旅人を寝かせ、路用の金を奪ふ為に上から綱に吊つた大石を落して旅人の命を奪つてゐる、そこへ美しい稚児が一人、一夜の宿りを求めに来る。婆さんはこの稚児も石の枕に寝かせ、やはり殺して金をとらうとする。すると婆さんの真名娘が私かにこの稚児に想ひを寄せ、稚児の身代りになつて死んでしまふ、それから稚児は観世音菩薩と現れ、婆さんに因果応報を教へる、この婆さんの身を投げて死んだ池は未だに浅草寺の境内に「姥の池」となつて残つてゐる、――大体かう云ふ浄瑠璃である。僕は少時国芳の浮世絵にこの話の書いたのを見てゐたから、「吉原八景」だの「黒髪」だのよりも「石の枕」に興味を感じてゐた。それからその又国芳の浮世絵は観世音菩薩の衣紋などに西洋画風の描法を応用してゐたのも覚えてゐる。僕はその後槐の若木を見、そのどこか図案的な枝葉を如何にも観世音菩薩の出現などにふさはしいと思つたものである。が、四五年前に北京に遊び、のべつに槐ばかり見ることになつたら、いつか詩趣とも云ふべきものを感じないやうになつてしまつた。唯青い槐の実の莢だけは未だに風流だと思つてゐる。北京灰捨つる路は槐の莢ばかり（大正十五年十月）
芥川龍之介,彼は或町の裏に年下の彼女と鬼ごつこをしてゐた。まだあたりは明るいものの、丁度町角の街燈には瓦斯のともる時分だつた。「ここまで来い。」彼は楽々と逃げながら、鬼になつて来る彼女を振りかへつた。彼女は彼を見つめたまま、一生懸命に追ひかけて来た。彼はその顔を眺めた時、妙に真剣な顔をしてゐるなと思つた。その顔は可也長い間、彼の心に残つてゐた。が、年月の流れるのにつれ、いつかすつかり消えてしまつた。それから二十年ばかりたつた後、彼は雪国の汽車の中に偶然、彼女とめぐり合つた。窓の外が暗くなるのにつれ、沾めつた靴や外套のひが急に身にしみる時分だつた。「暫くでしたね。」彼は巻煙草を銜へながら、（それは彼が同志と一しよに刑務所を出た三日目だつた。）ふと彼女の顔へ目を注いだ。近頃夫を失つた彼女は熱心に彼女の両親や兄弟のことを話してゐた。彼はその顔を眺めた時、妙に真剣な顔をしてゐるなと思つた。と同時にいつの間にか十二歳の少年の心になつてゐた。彼等は今は結婚して或郊外に家を持つてゐる。が、彼はその時以来、妙に真剣な彼女の顔を一度も目のあたりに見たことはなかつた。（大正一五・一二・一）
芥川龍之介,宇野浩二は聡明の人である。同時に又多感の人である。尤も本来の喜劇的精神は人を欺くことがあるかも知れない。が、己を欺くことは極めて稀にしかない人である。のみならず、又宇野浩二は喜劇的精神を発揮しないにもしろ、あらゆる多感と聡明とを二つとも兼ね具えた人のように滅多にムキにはならない人である。喜劇的精神を発揮することそのことにもムキにはならない人である。これは時には宇野浩二に怪物の看を与えるかも知れない。しかし其処に独特のシャルム――たとえば精神的カメレオンに対するシャルムの存することも事実である。宇野浩二は本名格二（或は次）郎である。あの色の浅黒い顔は正に格二郎に違いない。殊に三味線を弾いている宇野は浩さん離れのした格さんである。次手に顔のことを少し書けば、わたしは宇野の顔を見る度に必ず多少の食慾を感じた。あの顔は頬から耳のあたりをコオルド・ビフのように料理するが好い。皿に載せた一片の肉はほんのりと赤い所どころに白い脂肪を交えている。が、ちょっと裏返して見ると、鳥膚になった頬の皮はもじゃもじゃした揉み上げを残している。――と云う空想をしたこともあった。尤も実際口へ入れて見たら、予期通り一杯やれるかどうか、その辺は頗る疑問である。多分はいくら香料をかけても、揉み上げにしみこんだ煙草の匂は羊肉の匂のようにぷんと来るであろう。いざ子ども利鎌とりもち宇野麻呂が揉み上げ草を刈りて馬飼へ
芥川龍之介,学生時代の僕は第三次並びに第四次「新思潮」の同人と最も親密に往来してゐた。元来作家志望でもなかつた僕のとうとう作家になつてしまつたのは全然彼等の悪影響である。全然？――尤も全然かどうかは疑問かも知れない。当時の僕は彼等以外にも早稲田の連中と交際してゐた。その連中もやはり清浄なる僕に悪影響を及ぼしたことは確かである。その連中と云ふのは外でもない。同人雑誌「仮面」を出してゐた日夏耿之介、西条八十、森口多里の諸君である。僕は一二度山宮允君と一しよに、赤い笠の電燈をともした西条君の客間へ遊びに行つた。日夏君や森口君は勿論、先生格の吉江弧雁氏に紹介されたのもその客間である。当時どう云ふ話をしたか、それはもう殆ど覚えてゐない。唯いつか怪談の出た晩、人つ子一人通らない雨降りの大久保を帰つて来るのに辟易したことを覚えてゐる。しかしその後は吉江氏を始め、西条君や森口君とはずつと御無沙汰をつづけてゐる。唯鎌倉の大町にゐた頃、日夏君も長谷に居を移してゐたから、君とは時々往来した。当時の日夏君の八畳の座敷は御同様借家に住んでゐた為、すつかり障子をしめ切つた後でも、床の間の壁から陣々の風の吹きこんで来たのは滑稽である。けれども鎌倉を去つた後は日夏君ともいつか疎遠になつた。諸君は皆健在らし。日夏君は時々中央公論に詩に関する長論文を発表してゐる。あの原稿を書いてゐる部屋へはもう床の間の風なども吹きこんで来ないことであらう。（大正十三年五月）
芥川龍之介,大町先生に最後にお目にかゝったのは、大正十三年の正月に、小杉未醒、神代種亮、石川寅吉の諸君と品川沖へ鴨猟に往った時である。何でも朝早く本所の一ノ橋の側の船宿に落合い、そこから発動機船を仕立てさせて大川をくだったと覚えている。小杉君や神代君は何れも錚々たる狩猟家である。おまけに僕等の船の船頭の一人も矢張り猟の名人だということである。しかしかゝる禽獣殺戮業の大家が三人も揃っている癖に、一羽もその日は鴨は獲れない。いや、鴨たると鵜たるを問わず品川沖におりている鳥は僕等の船を見るが早いか、忽ち一斉に飛び立ってしまう。桂月先生はこの鴨の獲れないのが大いに嬉しいと見えて、「えらい、このごろの鴨は字が読めるから、みんな禁猟区域へ入ってしまう」などと手を叩いて笑っていた。しかもまた、何だか頭巾に似た怪しげな狐色の帽子を被って、口髭に酒の滴を溜めて傍若無人に笑うのだから、それだけでも鴨は逃げてしまう。こういうような仕末で、その日はただ十時間ばかり海の風に吹かれただけで、鴨は一羽も獲れずしまった。しかし、鴨の獲れない事を痛快がっていた桂月先生も、もう一度、一ノ橋の河岸へあがると、酔いもすこし醒めたと見え「僕は小供に鴨を二羽持って帰ると約束をしてきたのだが、どうにかならないものかなあ、何でも小供はその鴨を学校の先生にあげるんだそうだ」と云いだした。そこで黐で獲った鴨を、近所の鳥屋から二羽買って来させることにした。すると小杉君が、「鉄砲疵が無くっちゃいけねえだろう、こゝで一発ずつ穴をあけてやろうか」と云った。けれども桂月先生は、小供のように首をふりながら、「なに、これでたくさんだ」と云い／＼その黐だらけの二羽の鴨を古新聞に包んで持って帰った。
芥川龍之介,黒馬に風景が映つてゐる。×朝のパンを石竹の花と一しよに食はう。×この一群の天使たちは蓄音機のレコオドを翼にしてゐる。×町はづれに栗の木が一本。その下にインクがこぼれてゐる。×青い山をひつ掻いて見給へ。石鹸が幾つもころげ出すだらう。×英字新聞には黄瓜を包め。×誰かあのホテルに蜂蜜を塗つてゐる。×Ｍ夫人――舌の上に蝶が眠つてゐる。×Ｆさん――額の毛が乞食をしてゐる。×Ｏさん――あの口髭は駝鳥の羽根だらう。×詩人Ｓ・Ｍの言葉――芒の穂は毛皮だね。×或牧師の顔――臍！×レエスやナプキンの中へずり落ちる道。×碓氷山上の月、――月にもかすかに苔が生えてゐる。×Ｈ老夫人の死、――霧は仏蘭西の幽霊に似てゐる。×馬蝿は水星にも群つて行つた。×ハムモツクを額に感じるうるささ。×雷は胡椒よりも辛い。×「巨人の椅子」と云う岩のある山、――瞬かない顔が一つ見える。×あの家は桃色の歯齦をしてゐる。×羊の肉には羊歯の葉を添へ給へ。×さやうなら。手風琴の町、さようなら、僕の抒情詩時代。（大正十四年稿）
